Province or territory of work,Percent_Women,Percent_Indigenous_Peoples,Percent_Disabilities,Percent_Visible_Minorities
Alberta,27.90156788,17.41287652,27.52111036,27.16444524
British Columbia,27.20370745,22.64138441,30.78176395,19.37314418
Manitoba,26.9228586,8.860220919,28.21374001,36.00318048
New Brunswick,12.96885,14.83960667,12.45578207,59.73576126
Newfoundland and Labrador,10.74688414,6.518668582,10.23571492,72.49873236
Northwest Territories,28.11453121,8.546428134,21.28337169,42.05566897
Not available,15.64706744,53.28057022,16.10976243,14.9625999
Nova Scotia,19.89157451,14.80369111,14.4394093,50.86532508
Nunavut,33.07760738,3.472331106,8.392557398,55.05750412
Ontario,24.35611276,30.46959839,23.19742297,21.97686588
Outside Canada,18.07671208,14.91794176,53.53284206,13.47250411
Prince Edward Island,9.766327611,19.21302323,9.741899836,61.27874932
Quebec,22.44072877,27.4488811,25.55210576,24.55828437
Saskatchewan,22.59996331,6.797267925,25.88832387,44.71444489
Yukon,22.84049637,8.738096457,24.62629282,43.79511435
